query,has_media,tool_chains,sub_queries,need_call_tools,info_has_in_memory,label,use_case,reasoning
Compare the careers and trophies of [PLAYER_A] and [PLAYER_B].,false,"[[""entity_augment""], [""entity_augment""]]","[""Career and trophies of [PLAYER_A]"", ""Career and trophies of [PLAYER_B]""]",true,false,positive,entity_comparison,"Correct: entity_augment takes ONE entity per call, so two players = two parallel workers, then the aggregator compares."
Compare the careers and trophies of [PLAYER_A] and [PLAYER_B].,false,"[[""entity_augment""]]","[""Careers and trophies of [PLAYER_A] and [PLAYER_B]""]",true,false,negative,entity_comparison,Wrong: entity_augment handles only one entity per call. Putting two players in one call is invalid — split into two parallel workers.
Tell me in detail about both [PLAYER_A] and [PLAYER_B].,false,"[[""entity_augment""], [""entity_augment""]]","[""Detailed background of [PLAYER_A]"", ""Detailed background of [PLAYER_B]""]",true,false,positive,multi_entity_detail_text,Correct: detail about two distinct entities = two parallel entity_augment workers (one entity per call).
Tell me in detail about both [PLAYER_A] and [PLAYER_B].,false,"[[""entity_augment""]]","[""Detailed background of [PLAYER_A] and [PLAYER_B]""]",true,false,negative,multi_entity_detail_text,Wrong: one entity_augment call cannot cover two entities. Use one worker per entity.
What was the final score and who won [TEAM_A] vs [TEAM_B]?,false,"[[""game_info_retrieval""]]","[""Final score and winner of [TEAM_A] vs [TEAM_B]""]",true,false,positive,match_result,Correct: final score of a finished match is static match metadata — game_info_retrieval returns it in one call (and auto-falls back to web if not in the DB).
What was the final score and who won [TEAM_A] vs [TEAM_B]?,false,"[[""entity_augment""]]","[""Final score of [TEAM_A] vs [TEAM_B]""]",true,false,negative,match_result,"Wrong: entity_augment returns entity backgrounds, not match scores. Use game_info_retrieval."
List all goals and their timestamps in [TEAM_A] vs [TEAM_B].,false,"[[""game_history_retrieval""]]","[""Goals and timestamps in [TEAM_A] vs [TEAM_B]""]",true,false,positive,match_events,Correct: goals/cards/subs are in the event log — game_history_retrieval returns it in one call.
List all goals and their timestamps in [TEAM_A] vs [TEAM_B].,false,"[[""game_info_retrieval""]]","[""Goals and timestamps in [TEAM_A] vs [TEAM_B]""]",true,false,negative,match_events,"Wrong: game_info_retrieval returns static pre-match data, not the in-game event log. Use game_history_retrieval."
Who refereed and what was the venue and attendance for [TEAM_A] vs [TEAM_B]?,false,"[[""game_info_retrieval""]]","[""Referee, venue, and attendance for [TEAM_A] vs [TEAM_B]""]",true,false,positive,match_meta,"Correct: referee, venue, attendance are static match metadata returned by game_info_retrieval."
Who refereed and what was the venue and attendance for [TEAM_A] vs [TEAM_B]?,false,"[[""game_history_retrieval""]]","[""Referee and venue for [TEAM_A] vs [TEAM_B]""]",true,false,negative,match_meta,"Wrong: game_history_retrieval returns the event log, not pre-match metadata. Use game_info_retrieval."
"Give me the starting lineups, final score, and all goalscorers of [TEAM_A] vs [TEAM_B].",false,"[[""game_info_retrieval""], [""game_history_retrieval""]]","[""Starting lineups and final score of [TEAM_A] vs [TEAM_B]"", ""Goalscorers in [TEAM_A] vs [TEAM_B]""]",true,false,positive,match_full_info,Correct: lineups/score (static) and goalscorers (event log) are independent — run game_info and game_history as parallel workers.
"Give me the starting lineups, final score, and all goalscorers of [TEAM_A] vs [TEAM_B].",false,"[[""game_info_retrieval"", ""game_history_retrieval""]]","[""Lineups, score, and goalscorers of [TEAM_A] vs [TEAM_B]""]",true,false,negative,match_full_info,Wrong: the two tools have no data dependency — chaining them sequentially wastes time. Run as parallel workers.
How did [PLAYER] perform in [TEAM_A] vs [TEAM_B] — did they score or get carded?,false,"[[""game_history_retrieval""]]","[""Performance of [PLAYER] in [TEAM_A] vs [TEAM_B]: goals and cards""]",true,false,positive,player_match_performance,"Correct: a player's in-match actions (goals, cards) live in the event log — game_history_retrieval."
How did [PLAYER] perform in [TEAM_A] vs [TEAM_B] — did they score or get carded?,false,"[[""entity_augment""]]","[""Performance of [PLAYER] in [TEAM_A] vs [TEAM_B]""]",true,false,negative,player_match_performance,"Wrong: entity_augment returns career background, not per-match events. Use game_history_retrieval."
Which players from [TEAM] started in [TEAM_A] vs [TEAM_B]?,false,"[[""game_info_retrieval""]]","[""Starting lineup of [TEAM] in [TEAM_A] vs [TEAM_B]""]",true,false,positive,player_team_in_match,Correct: the starting lineup is static match data with player names — game_info_retrieval suffices; no entity lookup needed for names.
Which players from [TEAM] started in [TEAM_A] vs [TEAM_B]?,false,"[[""game_info_retrieval"", ""entity_augment""]]","[""Starting lineup of [TEAM] in [TEAM_A] vs [TEAM_B]""]",true,false,negative,player_team_in_match,Wrong: only names are asked — adding entity_augment is unnecessary. game_info_retrieval already lists the lineup names.
Tell me about [PLAYER] who started in [TEAM_A] vs [TEAM_B].,false,"[[""game_info_retrieval"", ""entity_augment""]]","[""Background of [PLAYER] who started in [TEAM_A] vs [TEAM_B]""]",true,false,positive,lineup_player_entity,"Correct: confirm the player from the lineup via game_info_retrieval, then entity_augment fetches their background — sequential dependency, one chain."
Tell me about [PLAYER] who started in [TEAM_A] vs [TEAM_B].,false,"[[""game_history_retrieval"", ""entity_augment""]]","[""Background of [PLAYER] in [TEAM_A] vs [TEAM_B]""]",true,false,negative,lineup_player_entity,"Wrong: the starting lineup is static data from game_info_retrieval, not the event log from game_history_retrieval."
What is the nationality of the referee who officiated [TEAM_A] vs [TEAM_B]?,false,"[[""game_info_retrieval"", ""entity_augment""]]","[""Nationality of the referee who officiated [TEAM_A] vs [TEAM_B]""]",true,false,positive,cross_entity_lookup,"Correct: the referee name is unknown — game_info_retrieval extracts it, then entity_augment looks up nationality. Sequential, one chain."
What is the nationality of the referee who officiated [TEAM_A] vs [TEAM_B]?,false,"[[""game_info_retrieval""], [""entity_augment""]]","[""Referee of [TEAM_A] vs [TEAM_B]"", ""Nationality of the referee""]",true,false,negative,cross_entity_lookup,Wrong: splitting breaks the dependency — entity_augment has no referee name until game_info_retrieval runs. Keep in one sequential chain.
"Who scored in [TEAM_A] vs [TEAM_B], and what club do they play for now?",false,"[[""game_history_retrieval"", ""entity_augment""]]","[""Goalscorer in [TEAM_A] vs [TEAM_B] and their current club""]",true,false,positive,goal_scorer_entity,"Correct: the scorer's name is unknown — game_history_retrieval extracts it from the event log, then entity_augment finds their current club. Sequential, one chain."
"Who scored in [TEAM_A] vs [TEAM_B], and what club do they play for now?",false,"[[""entity_augment""]]","[""Current club of the goalscorer in [TEAM_A] vs [TEAM_B]""]",true,false,negative,goal_scorer_entity,"Wrong: entity_augment needs a known name, but the scorer is unknown until game_history_retrieval runs. Resolve the scorer first."
Compare the number of goals in [TEAM_A] vs [TEAM_B] and in [TEAM_C] vs [TEAM_D].,false,"[[""game_history_retrieval""], [""game_history_retrieval""]]","[""Goals in [TEAM_A] vs [TEAM_B]"", ""Goals in [TEAM_C] vs [TEAM_D]""]",true,false,positive,multi_match_comparison,Correct: two independent matches = two parallel game_history_retrieval workers (one match per call).
Compare the number of goals in [TEAM_A] vs [TEAM_B] and in [TEAM_C] vs [TEAM_D].,false,"[[""game_history_retrieval""]]","[""Goals in both [TEAM_A] vs [TEAM_B] and [TEAM_C] vs [TEAM_D]""]",true,false,negative,multi_match_comparison,Wrong: one call handles one match. Two matches require two parallel workers.
How did the [TEAM_A] vs [TEAM_B] match go?,false,"[[""game_info_retrieval""]]","[""Result and summary of [TEAM_A] vs [TEAM_B]""]",true,false,positive,recent_specific_match,"Correct: a named fixture goes straight to game_info_retrieval — it auto-falls back to web search if the match is not in the DB, so do NOT ask for the season or year."
How did the [TEAM_A] vs [TEAM_B] match go?,false,"[[""game_info_retrieval""]]","[""[TEAM_A] vs [TEAM_B] match""]",true,false,negative,recent_specific_match,"Wrong: do not mark this ambiguous or ask which season — the teams are named, and the game tool falls back to web if needed. Plan it directly with high confidence."
What are the latest transfer news for [TEAM]?,false,"[[""web_news_search""]]","[""Latest transfer news for [TEAM]""]",true,false,positive,news_transfer,"Correct: transfers are current news, not in the static DB — web_news_search."
What are the latest transfer news for [TEAM]?,false,"[[""entity_augment""]]","[""Transfer news for [TEAM]""]",true,false,negative,news_transfer,"Wrong: entity_augment returns static history, not breaking transfer news. Use web_news_search."
Is [PLAYER] injured? What is their current fitness?,false,"[[""web_news_search""]]","[""[PLAYER] injury and fitness status""]",true,false,positive,news_injury,Correct: injury/fitness status changes constantly — web_news_search.
Is [PLAYER] injured? What is their current fitness?,false,"[[""entity_augment""]]","[""[PLAYER] injury status""]",true,false,negative,news_injury,Wrong: entity_augment has no real-time fitness data. Use web_news_search.
Who are the top scorers in [LEAGUE] this season?,false,"[[""web_news_search""]]","[""Top scorers in [LEAGUE] this season""]",true,false,positive,news_standings,Correct: current-season aggregate stats need live web data — web_news_search.
Who are the top scorers in [LEAGUE] this season?,false,"[[""game_history_retrieval""]]","[""Top scorers in [LEAGUE] this season""]",true,false,negative,news_standings,"Wrong: game_history_retrieval returns one stored match, not season-wide standings. Use web_news_search."
When is [TEAM]'s next match and who do they play?,false,"[[""web_news_search""]]","[""[TEAM] next fixture and opponent""]",true,false,positive,news_fixture,Correct: upcoming fixtures are forward-looking info not in the historical DB — web_news_search.
When is [TEAM]'s next match and who do they play?,false,"[[""game_info_retrieval""]]","[""[TEAM] next match""]",true,false,negative,news_fixture,"Wrong: game_info_retrieval only has historical matches, not future fixtures. Use web_news_search."
Who is the new manager of [TEAM] after [MANAGER] was sacked?,false,"[[""web_news_search""]]","[""[TEAM] new manager appointment""]",true,false,positive,news_manager,Correct: managerial changes are breaking news — web_news_search.
Who is the new manager of [TEAM] after [MANAGER] was sacked?,false,"[[""entity_augment""]]","[""[TEAM] manager""]",true,false,negative,news_manager,Wrong: entity_augment cannot reflect a recent sacking. Use web_news_search.
Tell me about [PLAYER]'s career and any recent news about them.,false,"[[""entity_augment""], [""web_news_search""]]","[""Career history of [PLAYER]"", ""Recent news about [PLAYER]""]",true,false,positive,entity_and_news_parallel,Correct: static career (entity_augment) and live news (web_news_search) are independent — run as parallel workers.
Tell me about [PLAYER]'s career and any recent news about them.,false,"[[""entity_augment"", ""web_news_search""]]","[""Career and recent news about [PLAYER]""]",true,false,negative,entity_and_news_parallel,Wrong: the two sources are independent — chaining them sequentially wastes time. Run in parallel.
Tell me about [PLAYER]'s career and any recent news about them.,false,"[[""entity_augment""]]","[""Career and recent news about [PLAYER]""]",true,false,negative,entity_and_news_parallel,Wrong: entity_augment cannot return recent news. Add a parallel web_news_search worker.
"Based on what you told me earlier about [PLAYER], what were their main achievements?",false,"[[]]","[""Using memory to answer: main achievements of [PLAYER]""]",true,true,positive,no_tools_needed,"Correct: the answer is already in conversation history — use chain: [] so the worker forwards the sub_query to the aggregator, which answers from memory without calling any tools."
"Based on what you told me earlier about [PLAYER], what were their main achievements?",false,"[[""entity_augment""]]","[""Main achievements of [PLAYER]""]",true,true,negative,no_tools_needed,Wrong: re-fetching duplicates work — the answer is already in conversation history. Use chain: [] with sub_query starting with 'Using memory to answer:'.
Who is the player described as [VISUAL_DESCRIPTION] in this image?,true,"[[""entity_recognition""]]","[""Identify the player described as [VISUAL_DESCRIPTION] in the image""]",true,false,positive,image_identify_name,Correct: name-only from an uploaded image — entity_recognition returns the recognized name; no detail tool needed.
Who is the player described as [VISUAL_DESCRIPTION] in this image?,true,"[[""entity_recognition"", ""entity_augment""]]","[""Identity of [VISUAL_DESCRIPTION] in the image""]",true,false,negative,image_identify_name,Wrong: only the name is asked — entity_augment (detail) is unnecessary overhead.
Who is the player described as [VISUAL_DESCRIPTION] in this image?,true,"[[""entity_augment""]]","[""Identity of [VISUAL_DESCRIPTION] in the image""]",true,false,negative,image_identify_name,Wrong: no name is known yet — identity must be resolved from the image via entity_recognition first.
"Who is [VISUAL_DESCRIPTION] in this image, and tell me about their career?",true,"[[""entity_recognition"", ""entity_augment""]]","[""Identify [VISUAL_DESCRIPTION] in the image, then retrieve their career background""]",true,false,positive,image_identify_detail,"Correct: entity_recognition resolves the name from the image, then entity_augment fetches career detail — sequential, one chain."
"Who is [VISUAL_DESCRIPTION] in this image, and tell me about their career?",true,"[[""entity_recognition""], [""entity_augment""]]","[""Identity of [VISUAL_DESCRIPTION]"", ""Career background""]",true,false,negative,image_identify_detail,Wrong: parallel breaks the dependency — entity_augment has no name until entity_recognition runs. Keep in one sequential chain.
Who is the player in red and who is the player in green in this image?,true,"[[""entity_recognition""], [""entity_recognition""]]","[""Identify the player wearing red in the image"", ""Identify the player wearing green in the image""]",true,false,positive,image_multi_name,Correct: entity_recognition handles one person per call — two people = two parallel workers.
Who is the player in red and who is the player in green in this image?,true,"[[""entity_recognition""]]","[""Identify the players in red and green in the image""]",true,false,negative,image_multi_name,Wrong: entity_recognition identifies one person per call. Two people need two parallel workers.
Identify the player in red and the player in blue in this image and tell me about both of their careers.,true,"[[""entity_recognition"", ""entity_augment""], [""entity_recognition"", ""entity_augment""]]","[""Identify the player in red then retrieve their career"", ""Identify the player in blue then retrieve their career""]",true,false,positive,image_multi_all_detail,"Correct: two people each needing detail = two parallel workers, each entity_recognition then entity_augment."
Identify the player in red and the player in blue in this image and tell me about both of their careers.,true,"[[""entity_recognition"", ""entity_augment""]]","[""Identify both players and their careers""]",true,false,negative,image_multi_all_detail,Wrong: one chain handles one entity. Two people need two parallel workers.
"In this image, who is the player in red (tell me about his career) and who are the players in blue and green?",true,"[[""entity_recognition"", ""entity_augment""], [""entity_recognition""], [""entity_recognition""]]","[""Identify the player in red then retrieve their career"", ""Identify the player in blue in the image"", ""Identify the player in green in the image""]",true,false,positive,image_multi_mixed_detail,"Correct: three people = three parallel workers; only the red player asked for detail uses entity_augment, the other two are name-only entity_recognition."
"In this image, who is the player in red (tell me about his career) and who are the players in blue and green?",true,"[[""entity_recognition"", ""entity_augment""], [""entity_recognition"", ""entity_augment""], [""entity_recognition"", ""entity_augment""]]","[""Identify the player in red and career"", ""Identify the player in blue and career"", ""Identify the player in green and career""]",true,false,negative,image_multi_mixed_detail,Wrong: only the red player was asked about in detail — adding entity_augment for blue and green is wasteful. Name-only people use entity_recognition alone.
What are the major career highlights of [PLAYER]?,true,"[[""entity_augment""]]","[""Major career highlights of [PLAYER]""]",true,false,positive,image_irrelevant_media,"Correct: the player's name is already in the text and the query does not refer to the image — use entity_augment, ignore the attached image."
What are the major career highlights of [PLAYER]?,true,"[[""entity_recognition"", ""entity_augment""]]","[""Major career highlights of [PLAYER]""]",true,false,negative,image_irrelevant_media,Wrong: the name is already given and the query is text-only — no visual identification is needed.
What just happened — who scored and what is the score right now?,true,"[[""game_history_retrieval""]]","[""What just happened and the current score in the match being watched right now""]",true,false,positive,stream_live_events,"Correct: while watching live, ongoing events and the running score come from the event log — game_history_retrieval on the active match."
What just happened — who scored and what is the score right now?,true,"[[""game_info_retrieval""]]","[""Current score of the match being watched""]",true,false,negative,stream_live_events,Wrong: during a live match the final score is not yet recorded — game_info_retrieval only has the final post-match score. Use game_history_retrieval for the running state.
What just happened — who scored and what is the score right now?,true,"[[""web_news_search""]]","[""Live score of the current match""]",true,false,negative,stream_live_events,"Wrong: the match being watched is identified by the active game_id in the stream context — use game_history_retrieval, not a web search."
"Who is the player wearing number [N] in the white shirt, and who is the referee of this match?",true,"[[""game_info_retrieval""]]","[""Identify the player wearing number [N] for the white team and the referee in the current match being watched""]",true,false,positive,stream_identify_name,"Correct: while watching, entity names (player by number/color/team, referee, coach, venue) come from the match lineup/metadata — game_info_retrieval on the active match. No uploaded image, so entity_recognition does not apply."
"Who is the player wearing number [N] in the white shirt, and who is the referee of this match?",true,"[[""entity_recognition""]]","[""Identify the player wearing number [N] in the current match""]",true,false,negative,stream_identify_name,Wrong: entity_recognition needs an UPLOADED image; a live stream has no image_id. Identify via the lineup using game_info_retrieval.
"Who is the player wearing number [N] in the white shirt, and who is the referee of this match?",true,"[[""entity_augment""]]","[""Identify the player wearing number [N] and the referee""]",true,false,negative,stream_identify_name,Wrong: entity_augment needs a known name and only returns detail — the names must first come from the match via game_info_retrieval.
Who is the coach of the home team and tell me about his managerial career?,true,"[[""game_info_retrieval"", ""entity_augment""]]","[""Identify the home coach in the current match being watched, then retrieve their managerial career""]",true,false,positive,stream_entity_detail,"Correct: game_info_retrieval gets the coach name from the active match, then entity_augment fetches detail — sequential, one chain."
Who is the coach of the home team and tell me about his managerial career?,true,"[[""entity_augment""]]","[""Managerial career of the home coach""]",true,false,negative,stream_entity_detail,Wrong: the coach name is unknown until game_info_retrieval reads the match — entity_augment cannot start without a name.
Who is the referee and who are the two coaches of this match?,true,"[[""game_info_retrieval""]]","[""Identify the referee and both coaches in the current match being watched""]",true,false,positive,stream_multi_entity_same_match,Correct: game_info_retrieval returns all entities of one match in a single call — multiple entities from the SAME watched match need only one worker.
Who is the referee and who are the two coaches of this match?,true,"[[""game_info_retrieval""], [""game_info_retrieval""], [""game_info_retrieval""]]","[""Referee of the current match"", ""Home coach of the current match"", ""Away coach of the current match""]",true,false,negative,stream_multi_entity_same_match,Wrong: game_info_retrieval already returns referee and both coaches together — splitting into multiple workers is wasteful (unlike per-person image recognition).
"While I'm watching this, how did [TEAM_A] vs [TEAM_B] go?",true,"[[""game_info_retrieval""]]","[""Result and summary of [TEAM_A] vs [TEAM_B]""]",true,false,positive,stream_named_other_match,Correct: the query names a specific other fixture — resolve that match by name (do NOT redirect to the watched game).
"While I'm watching this, how did [TEAM_A] vs [TEAM_B] go?",true,"[[""game_info_retrieval""]]","[""Result of the current match being watched right now""]",true,false,negative,stream_named_other_match,Wrong: a specific other match is named — phrasing the sub_query as the watched match would answer the wrong fixture. Target the named teams.
"Who is the person in this image, and who is the striker playing right now in the match I'm watching?",true,"[[""entity_recognition""], [""game_info_retrieval""]]","[""Identify the person described in the uploaded image"", ""Identify the striker for the attacking team in the current match being watched""]",true,false,positive,image_and_stream_parallel,Correct: two independent identities — the uploaded image (entity_recognition) and the live lineup (game_info_retrieval) — run as two parallel workers.
"Who is the person in this image, and who is the striker playing right now in the match I'm watching?",true,"[[""entity_recognition"", ""game_info_retrieval""]]","[""Identity from image and the live striker""]",true,false,negative,image_and_stream_parallel,Wrong: the two identities are independent — chaining them sequentially wastes time. Run as parallel workers.
"Who is the person in this image, and who is the striker playing right now in the match I'm watching?",true,"[[""entity_recognition""], [""entity_recognition""]]","[""Identity from image"", ""Identity of the live striker""]",true,false,negative,image_and_stream_parallel,"Wrong: the live striker has no uploaded image — identify them via game_info_retrieval on the active match, not entity_recognition."
"Who are these two people in my image, and what's happening in the match I'm watching?",true,"[[""entity_recognition""], [""entity_recognition""], [""game_history_retrieval""]]","[""Identify the first person in the uploaded image"", ""Identify the second person in the uploaded image"", ""What is happening right now in the match being watched""]",true,false,positive,image_multi_and_stream,Correct: two image people (one entity_recognition each) plus live events (game_history_retrieval) = three parallel workers.
"Who are these two people in my image, and what's happening in the match I'm watching?",true,"[[""entity_recognition""], [""game_history_retrieval""]]","[""Identify the two people in the image"", ""What is happening in the current match""]",true,false,negative,image_multi_and_stream,Wrong: entity_recognition handles one person per call — two image people need two separate workers plus the live-events worker.
Generate commentary for this video clip.,true,"[[""commentary_generation""]]","[""Generate commentary for the uploaded video clip""]",true,false,positive,video_commentary,Correct: commentary_generation produces commentary directly from an uploaded video clip.
Generate commentary for this video clip.,true,"[[""entity_augment""]]","[""Commentary for the video clip""]",true,false,negative,video_commentary,"Wrong: entity_augment works on named text entities, not video content. Use commentary_generation."
What is the career history and major trophies of [PLAYER]?,false,"[[]]","[""Using memory to answer: career history and major trophies of [PLAYER]""]",true,true,positive,entity_info,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
What are the founding history and major trophies of [TEAM]?,false,"[[]]","[""Using memory to answer: founding history and major trophies of [TEAM]""]",true,true,positive,team_info,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
"What is the seating capacity, location, and history of [VENUE]?",false,"[[]]","[""Using memory to answer: seating capacity, location, and history of [VENUE]""]",true,true,positive,venue_info,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
What is the career background of referee [REFEREE]?,false,"[[]]","[""Using memory to answer: career background of referee [REFEREE]""]",true,true,positive,referee_info,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
What is the managerial career and tactical philosophy of coach [COACH]?,false,"[[]]","[""Using memory to answer: managerial career and tactical philosophy of coach [COACH]""]",true,true,positive,coach_info,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
Compare the careers and trophies of [PLAYER_A] and [PLAYER_B].,false,"[[], []]","[""Using memory to answer: career and trophies of [PLAYER_A]"", ""Using memory to answer: career and trophies of [PLAYER_B]""]",true,true,positive,entity_comparison,"Correct: both entities are already in memory — two chains both with chain: [], each forwarding its sub_query to the aggregator, which answers both from memory."
Tell me in detail about both [PLAYER_A] and [PLAYER_B].,false,"[[], []]","[""Using memory to answer: detailed background of [PLAYER_A]"", ""Using memory to answer: detailed background of [PLAYER_B]""]",true,true,positive,multi_entity_detail_text,"Correct: both entities are already in memory — two chains both with chain: [], each forwarding its sub_query to the aggregator, which answers both from memory."
What was the final score and who won [TEAM_A] vs [TEAM_B]?,false,"[[]]","[""Using memory to answer: final score and winner of [TEAM_A] vs [TEAM_B]""]",true,true,positive,match_result,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
List all goals and their timestamps in [TEAM_A] vs [TEAM_B].,false,"[[]]","[""Using memory to answer: goals and timestamps in [TEAM_A] vs [TEAM_B]""]",true,true,positive,match_events,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
Who refereed and what was the venue and attendance for [TEAM_A] vs [TEAM_B]?,false,"[[]]","[""Using memory to answer: referee, venue, and attendance for [TEAM_A] vs [TEAM_B]""]",true,true,positive,match_meta,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
"Give me the starting lineups, final score, and all goalscorers of [TEAM_A] vs [TEAM_B].",false,"[[], []]","[""Using memory to answer: starting lineups and final score of [TEAM_A] vs [TEAM_B]"", ""Using memory to answer: goalscorers in [TEAM_A] vs [TEAM_B]""]",true,true,positive,match_full_info,"Correct: both sub-queries are already in memory — two chains both with chain: [], each forwarding its sub_query to the aggregator, which answers both from memory."
How did [PLAYER] perform in [TEAM_A] vs [TEAM_B] — did they score or get carded?,false,"[[]]","[""Using memory to answer: performance of [PLAYER] in [TEAM_A] vs [TEAM_B]: goals and cards""]",true,true,positive,player_match_performance,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
Which players from [TEAM] started in [TEAM_A] vs [TEAM_B]?,false,"[[]]","[""Using memory to answer: starting lineup of [TEAM] in [TEAM_A] vs [TEAM_B]""]",true,true,positive,player_team_in_match,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
Tell me about [PLAYER] who started in [TEAM_A] vs [TEAM_B].,false,"[[]]","[""Using memory to answer: background of [PLAYER] who started in [TEAM_A] vs [TEAM_B]""]",true,true,positive,lineup_player_entity,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
What is the nationality of the referee who officiated [TEAM_A] vs [TEAM_B]?,false,"[[]]","[""Using memory to answer: nationality of the referee who officiated [TEAM_A] vs [TEAM_B]""]",true,true,positive,cross_entity_lookup,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
"Who scored in [TEAM_A] vs [TEAM_B], and what club do they play for now?",false,"[[]]","[""Using memory to answer: goalscorer in [TEAM_A] vs [TEAM_B] and their current club""]",true,true,positive,goal_scorer_entity,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
Compare the number of goals in [TEAM_A] vs [TEAM_B] and in [TEAM_C] vs [TEAM_D].,false,"[[], []]","[""Using memory to answer: goals in [TEAM_A] vs [TEAM_B]"", ""Using memory to answer: goals in [TEAM_C] vs [TEAM_D]""]",true,true,positive,multi_match_comparison,"Correct: both match answers are already in memory — two chains both with chain: [], each forwarding its sub_query to the aggregator, which answers both from memory."
How did the [TEAM_A] vs [TEAM_B] match go?,false,"[[]]","[""Using memory to answer: result and summary of [TEAM_A] vs [TEAM_B]""]",true,true,positive,recent_specific_match,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
What are the latest transfer news for [TEAM]?,false,"[[]]","[""Using memory to answer: latest transfer news for [TEAM]""]",true,true,positive,news_transfer,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
Is [PLAYER] injured? What is their current fitness?,false,"[[]]","[""Using memory to answer: [PLAYER] injury and fitness status""]",true,true,positive,news_injury,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
Who are the top scorers in [LEAGUE] this season?,false,"[[]]","[""Using memory to answer: top scorers in [LEAGUE] this season""]",true,true,positive,news_standings,"Correct: answer is already in long_term_context or conversation history — use chain: [] so the worker forwards sub_query to the aggregator, which looks it up in memory without calling any tools."
